"ASIN","Title","Price","Rating","Image","Ad_Type"
"B0FRM3G9JF","SponsoredSponsored","₹68,438","4.1","https://m.media-amazon.com/images/I/71IdAMTOjZL._AC_UY218_.jpg","Ad"
"B0GR64G4H6","SponsoredSponsored","₹65,700","4.7","https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg","Ad"
"B0FJYJP1L6","HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop","₹89,990","4.2","https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg","Organic"
"B0DDL4CPZ5","Acer Aspire Lite 12th Gen, Intel Core i5-12450H, Office 2024 + M365 Basic, 12GB RAM/512GB SSD, 39.62cm 15.6"" FHD IPS Display, Win 11 Home, Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop","₹49,990","4.0","https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg","Organic"
"B0F4R5W1NC","HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","₹50,150","4.2","https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg","Organic"
"B0FMFPW419","HP Omen, AMD Ryzen 9 8940HX, 8GB RTX 5070, 24GB DDR5(Upgradeable) 1TB SSD, 240Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0182AX, RGB, AI Gaming Laptop","₹1,80,990","4.7","https://m.media-amazon.com/images/I/71nNdnlAs2L._AC_UY218_.jpg","Organic"
"B0CL7CMTXS","Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","₹41,999","4.0","https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg","Organic"
"B0GCZW2CKC","Lenovo LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 3050A 4GB (12GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JC00JXIN AI Gaming Laptop","₹70,990","4.5","https://m.media-amazon.com/images/I/61aXoUYHNcL._AC_UY218_.jpg","Organic"
"B0DSHXWLNW","ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS","₹99,990","4.4","https://m.media-amazon.com/images/I/71YeigfZCuL._AC_UY218_.jpg","Organic"
"B0GR1LB81D","SponsoredSponsored","₹4,99,900","4.3","https://m.media-amazon.com/images/I/61h78UMEXjL._AC_UY218_.jpg","Ad"
"B0FNQZ9HWX","SponsoredSponsored","₹56,990","4.7","https://m.media-amazon.com/images/I/71odoZVRgaL._AC_UY218_.jpg","Ad"
"B0DG2GCTD7","acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","₹52,990","4.0","https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg","Organic"
"B0F4R3GFMQ","HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","₹52,690","4.2","https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg","Organic"
"B09BB766ZL","ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Foggy Silver,1.28 Kg,UX3405CA-QL1113WS,Thin & Light Laptop","₹1,24,990","N/A","https://m.media-amazon.com/images/I/61tjQ9CkAhL._AC_UY218_.jpg","Organic"
"B0GP7BRZR6","ASUS TUF A16 (2026), AMD Ryzen 7 170 Processor,RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD+, 16""(40 cm), Windows 11 Home, M365 Basic(1 Year)* Office 2024, Mecha Gray, 2.2 Kg, FA607NUQ-RL047WS,Gaming Laptop","₹99,990","4.5","https://m.media-amazon.com/images/I/710T7opADkL._AC_UY218_.jpg","Organic"
