"ASIN","Title","Price","Rating","Image","Ad_Type"
"B0GCZW2CKC","Lenovo LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 3050A 4GB (12GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JC00JXIN AI Gaming Laptop","₹70,990","4.5","https://m.media-amazon.com/images/I/61aXoUYHNcL._AC_UY218_.jpg","Organic"
"B0F4R3GFMQ","HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","₹52,690","4.2","https://m.media-amazon.com/images/I/61ER6I1s9iL._AC_UY218_.jpg","Organic"
"B09BB766ZL","ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Foggy Silver,1.28 Kg,UX3405CA-QL1113WS,Thin & Light Laptop","₹1,24,990","N/A","https://m.media-amazon.com/images/I/61tjQ9CkAhL._AC_UY218_.jpg","Organic"
"B0DT74FF9P","ASUS Vivobook 16, Smartchoice, Intel Core Ultra 5 Series 2, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Silver, 1.88kg, X1607CA-MB142WS, Intel iGPU, M365 Basic (1Year)* Laptop","₹68,990","4.4","https://m.media-amazon.com/images/I/714zVJcMt5L._AC_UY218_.jpg","Ad"
"B0GVJYFTQX","HP 14, Intel Core 13th Generation Intel Core i7-1355U (16GB DDR4, 512GB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, EP0159TU, FHD Camera, Backlit Laptop","₹82,990","5.0","https://m.media-amazon.com/images/I/614QC+tnRVL._AC_UY218_.jpg","Ad"
"B0FDKPZHB7","HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop","₹1,19,990","4.0","https://m.media-amazon.com/images/I/71HKFtogydL._AC_UY218_.jpg","Ad"
"B0GZGC2N6F","𝗗𝗲𝗹𝗹Laptop Model 5420 |𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display |Win10 | A+ Condition Laptop (Refab)","₹28,999","1.0","https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg","Organic"
"B0GLGP1TNT","HP OmniBook AMD Ryzen 5 New AI 330 Processor (24GB DDR5 Ram, 1TB SSD), Anti-Glare,15.6''/39.6cm FHD, Win11,Office24, Silver,1.7kg, FHD Camera with Shutter, Fingerprint Reador, Backlit KB fn0074AU","₹68,990","4.8","https://m.media-amazon.com/images/I/71ic0yMZhTL._AC_UY218_.jpg","Organic"
"B0FK59XW2C","Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN","₹1,19,990","4.8","https://m.media-amazon.com/images/I/81xbSMHZ0UL._AC_UY218_.jpg","Organic"
"B0D7PTFFZH","Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","₹36,990","3.6","https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg","Organic"
"B0FC6576LN","BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 256GB SSD | Windows 11 | 38Wh | 1.3kg | Grey","₹21,990","2.7","https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg","Organic"
"B0GTWMP1CX","HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg","₹40,329","N/A","https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg","Organic"
"B0GP7BRZR6","ASUS TUF A16 (2026), AMD Ryzen 7 170 Processor,RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD+, 16""(40 cm), Windows 11 Home, M365 Basic(1 Year)* Office 2024, Mecha Gray, 2.2 Kg, FA607NUQ-RL047WS,Gaming Laptop","₹99,990","4.5","https://m.media-amazon.com/images/I/710T7opADkL._AC_UY218_.jpg","Organic"
"B0H1CCBGJ4","𝗛𝗣𝗲𝗹𝗶𝘁𝗲𝗯𝗼𝗼𝗸Model 440 G3 Business Laptop | InteI i5 6th Gen | 8GB RAM - 256GB SSD | 14"" FHD Display | Ultra Slim Silver Body | Win 10 | A+ Condition (Refab)","₹23,900","N/A","https://m.media-amazon.com/images/I/61BYfPSEqWL._AC_UY218_.jpg","Organic"
"B0GRHZDJBJ","Lenovo ThinkBook 16, Intel Core Ultra 9 185H, 16GB RAM, 512GB SSD, WUXGA IPS 16” (40.64cm), Win 11 Home, Arctic Grey, 1.7Kg, 21SKA0J5IG, Fingerprint, Backlit, 300 Nits, 1Y Warranty, AI Powered Laptop","₹94,990","5.0","https://m.media-amazon.com/images/I/511EukRBJzL._AC_UY218_.jpg","Ad"
"B09BB75X71","ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Ponder Blue,1.28 Kg,UX3405CA-QL1016WS,Thin & Light Laptop","₹1,24,990","5.0","https://m.media-amazon.com/images/I/61KJB9peJNL._AC_UY218_.jpg","Ad"
"B0FFTLRYRV","HP 15, Intel Core 5-120U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, FD0640TU/fd0682tu, FHD Camera w/Shutter, BL Laptop","₹63,490","3.9","https://m.media-amazon.com/images/I/71Go8vTBwXL._AC_UY218_.jpg","Organic"
"B0FMRWYCRT","HP OmniBook X Flip OLED (Previously Envy) Intel Core Ultra 5 226V, 40 Tops (16GB LPDDR5x,1TB SSD) 3K, Touch, 120hz,14''/35.6cm, Win11, Office24, Meteor Silver, 1.38kg, fm0099TU,Pen, Next Gen AI Laptop","₹1,22,990","3.8","https://m.media-amazon.com/images/I/71N04uIPZDL._AC_UY218_.jpg","Organic"
"B0F5BH7D1L","ASUS ROG Strix G16,Intel Core Ultra 9 275HX Gaming Laptop(RTX 5070 Ti -12GB/140W TGP/32GB/1TB/2.5K QHD+/16""/240Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg) G615LR-S5190WS","₹2,79,990","3.8","https://m.media-amazon.com/images/I/81yUKF8dkiL._AC_UY218_.jpg","Organic"
"B0F8QB4SBH","Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1315U 15.6 inch (39.6cm) FHD Laptop (8GB RAM/512GB SSD/Windows 11/Office 2024/Backlit Keyboard/1Yr ADP Free/3 Month Game Pass/Grey/1.6Kg), 82X700FXIN","₹47,900","1.0","https://m.media-amazon.com/images/I/81Be1f26lVL._AC_UY218_.jpg","Organic"
"B0H1J4KRR9","𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)","₹30,490","5.0","https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg","Organic"
"B0DHFSN5M7","Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021","₹44,310","4.0","https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg","Organic"
"B0GKF9J7DV","ASUS Vivobook 14, (i5 14th Gen) Intel Core 5 120U, Thin & Light Laptop(16GB RAM/512GB SSD/FHD/14/60Hz/Fingerprint Reader/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.4 Kg) X1404VAP-EB1542WS","₹61,990","4.0","https://m.media-amazon.com/images/I/61O2P+m2gIL._AC_UY218_.jpg","Organic"
"B0DSHVJPC9","ASUS Vivobook 16,Smartchoice, Intel Core Ultra 5 (Series 2),16GB RAM,512GB SSD,FHD+,16"",60Hz,Backlit Keyboard,Windows 11,M365 Basic (1Y), Office Home 2024,Blue,1.88 kg X1607CA-MB139WS, Thin & Light","₹77,990","4.4","https://m.media-amazon.com/images/I/716CyHXzWgL._AC_UY218_.jpg","Ad"
"B0FFMQB3KL","Primebook 2 Max (2026) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","₹28,990","4.3","https://m.media-amazon.com/images/I/51JTBldTCXL._AC_UY218_.jpg","Ad"
"B0F8P844W2","HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 1TB SSD) 2K, 14''/35.6cm, Win11, M365(1yr)*Office24, Silver,1.35kg, he0015QU,Light-Weight,Next-Gen AI Laptop","₹84,990","4.1","https://m.media-amazon.com/images/I/71fHNU8KnQL._AC_UY218_.jpg","Ad"
